patronBusqueda,multitienda,descripcion,precioPesos,precioUf
notebook hp,Falabella,HP Spectre 2en1 14-EF0101LA Intel Core i7...,1599990,44.341356305255566
notebook hp,Falabella,NOTEBOOK HP PROBOOK 445G8 R5 5600U 8GB SSD...,699990,19.399187494994244
notebook hp,Falabella,(RE) NOTEBOOK HP 240 G9 CELERON N4500 8GB...,199990,5.542427044849068
notebook hp,Falabella,Hp Notebook 240 G8 I5-1135g7- 8gb / 512gb Ssd,489990,13.57934810593327
notebook hp,Falabella,NTBK intel N4020 4GB Ram 500GB HDD 14...,149990,4.15675099983455
notebook hp,Falabella,Notebook HP VICTUS 16-d0511la I5-11400H 8GB...,1079990,29.930325437104578
notebook hp,Falabella,Notebook HP ProBook 440 G9 i5-1235u 8GB 512GB...,863900,23.941710705760837
notebook hp,Falabella,"Notebook hp elitebook 840 g5 táctil de 14"" i5-8350u...",349990,9.69945517989262
notebook hp,Falabella,HP Elitebook 840G1 14pulgadas i5 8GB RAM...,219990,6.096697462854875
notebook hp,Falabella,HP Elitebook 9480m 14pulgadas i7 8GB RAM...,239990,6.650967880860682
notebook hp,Falabella,"Notebook HP 240 G8 14"" Intel Core i3-1115G4 8GB...",389990,10.807996015904235
notebook hp,Falabella,Notebook Hp 348 G7 I5-10210U 8Gb SSD 256GB...,489990,13.57934810593327
notebook hp,Falabella,Notebook HP 240 G8 Intel Core i3 8GB RAM +...,389990,10.807996015904235
notebook hp,Falabella,"Notebook HP 240 G8 14"" Intel Core i3-1115G4 8GB...",379990,10.530860806901332
notebook hp,Falabella,Notebook HP Pavilion 15-EG0503LA Intel Core...,539990,14.965024150947787
notebook hp,Falabella,Notebook HP Pavilion 15-Eh0004 AMD Ryzen3 8GB...,339990,9.422319970889717
notebook hp,Falabella,HP Pavilion x360 14-DY2003LA Intel Core i5...,599990,16.62783540496521
notebook hp,Falabella,Notebook HP 14-DQ2024LA Intel Core...,349990,9.69945517989262
notebook hp,Falabella,NOTEBOOK HP 840 G3 I7-6600 8GB 512GB SSD...,399990,11.085131224907139
notebook hp,Falabella,NOTEBOOK HP 840 G3 I7-6600 8GB 256GB SSD...,349990,9.69945517989262
notebook hp,Falabella,NOTEBOOK HP 250 G8 i7-1165G7 8GB 256GB...,509990,14.133618523939077
notebook hp,Falabella,HP Notebook 348 G7 Core i7-10510U 8GB SSD...,1046500,29.002199622153856
notebook hp,Falabella,Notebook HP Pavilion 15-Eh0004 AMD Ryzen3 8GB...,339990,9.422319970889717
notebook hp,Falabella,Notebook Gamer Victus Intel Core i5 8GB RAM...,679990,18.844917076988438
notebook hp,Falabella,Notebook HP 15-DY2064 Intel Core i3-1125G4 8GB...,599990,16.62783540496521
notebook hp,Falabella,Notebook HP 445 G8 Ryzen3 256GB SSD,499990,13.856483314936174
notebook hp,Falabella,HP PROBOOK 640 I5-6600 8GB 500GB HDD WIN10...,299990,8.313779134878104
notebook hp,Falabella,HP PROBOOK 640 I5-6600 8GB 512GB HDD WIN10...,299990,8.313779134878104
notebook hp,Falabella,HP PROBOOK 650 I5-6600 8GB 320GB HDD WIN10...,299990,8.313779134878104
notebook hp,Falabella,Notebook HP ProBook 450 G9 i5-1235u 8GB 512GB...,855900,23.720002538558514
notebook hp,Falabella,"Notebook 240 G8 14"" I5-1135G7 8GB SSD 256GB...",699000,19.371751109302956
notebook hp,Falabella,Notebook HP 14-dq2507la intel i3-1115g4 4gb ssd...,499990,13.856483314936174
notebook hp,Falabella,Notebook HP 240 G8 Intel Core i5 8GB RAM 256GB...,469990,13.025077687927464
notebook hp,Falabella,Notebook HP 14-dq2507la Intel Core i3 4GB RAM...,349990,9.69945517989262
notebook hp,Falabella,HP Probook 440 G7 i3-10110U 4GB SSD 256GB...,669990,18.567781867985534
notebook hp,Falabella,HP Probook 440 G7 i3-10110U 12GB SSD 256GB...,869990,24.110486048043605
notebook hp,Falabella,LAPTO AMD RYZEN 3 4300U / 256 GBSODIMM/...,799990,22.17053958502328
notebook hp,Falabella,Notebook HP Pavilion Gamer15-ec1035la Ryzen...,709990,19.676322703997148
notebook hp,Falabella,NOTEBOOK HP 240 G8 I3-1115G4 8GB 512GB SSD...,329990,9.145184761886814
notebook hp,Falabella,NOTEBOOK HP 240 G8 i5-1135G7 8GB 512GB...,458990,12.72022895802427
notebook hp,Falabella,"HP Pavilion Aero 13"" 13-BE0003CA AMD...",649990,18.013511449979728
notebook hp,Falabella,"Notebook HP 15-EF2127WM/15,6""FHD/Ryzen...",699990,19.399187494994244
notebook hp,Falabella,Notebook HP Gamer Omen 16-c0506la R7 5800H...,1369990,37.96724649818878
notebook hp,Falabella,Kit Notebook HP 240 G8 i3 - 8GB RAM + Audífonos...,399990,11.085131224907139
notebook hp,Falabella,Notebook HP Gamer Victus 16-D0500LA Intel Core...,899990,24.941891675052315
notebook hp,Falabella,Notebook HP Pavilion 15-EG0503LA Intel Core...,539990,14.965024150947787
notebook hp,Falabella,"Notebook Hp 14"" HD Flat N5030...",359990,9.976590388895524
notebook hp,Falabella,Notebook Hp Stream 14-cb171 Celeron 64gb 4gb...,244990,6.7895354853621335
